institute,person,run,status
69,926,16,prim
12,932,16,prim
46,933,16,prim
9,934,16,prim
14,935,16,prim
64,936,16,prim
69,1043,16,prim
11,945,16,prim
51,948,16,prim
79,951,16,prim
16,953,16,prim
69,954,16,prim
27,956,16,prim
29,585,16,prim
31,962,16,prim
25,969,16,prim
63,971,16,prim
51,975,16,prim
52,977,16,prim
23,979,16,prim
54,985,16,prim
69,986,16,prim
11,994,16,prim
66,996,16,prim
19,998,16,prim
14,1001,16,prim
14,1004,16,prim
43,1015,16,prim
83,1017,16,prim
55,1021,16,prim
73,1025,16,prim
79,1026,16,prim
51,1027,16,prim
39,1028,16,prim
69,947,16,prim
74,1030,16,prim
51,1034,16,prim
5,1035,16,prim
13,1040,16,prim
25,1041,16,prim
55,1046,16,prim
6,1053,16,prim
31,1058,16,prim
69,1062,16,prim
13,1064,16,prim
46,1065,16,prim
51,1069,16,prim
51,1071,16,prim
79,1073,16,prim
26,1080,16,prim
23,1086,16,prim
69,1087,16,prim
66,1089,16,prim
68,1094,16,prim
47,1095,16,prim
74,1096,16,prim
54,1098,16,prim
69,1099,16,prim
20,1102,16,prim
69,1106,16,prim
36,1108,16,prim
69,1111,16,prim
15,1112,16,prim
49,1113,16,prim
27,1114,16,prim
36,1116,16,prim
74,1118,16,prim
31,567,16,prim
43,815,16,prim
68,1121,16,prim
33,1122,16,prim
75,1123,16,prim
72,1124,16,prim
46,1127,16,prim
74,1128,16,prim
1,1130,16,prim
27,1135,16,prim
51,1137,16,prim
69,1142,16,prim
30,1153,16,prim
57,1154,16,prim
6,1155,16,prim
69,1156,16,prim
40,1157,16,prim
68,1158,16,prim
40,1159,16,prim
69,1161,16,prim
27,1162,16,prim
30,1163,16,prim
67,1164,16,prim
9,1165,16,prim
40,1166,16,prim
71,1167,16,prim
30,1168,16,prim
68,1169,16,prim
23,1170,16,prim
29,1172,16,prim
46,1174,16,prim
30,1175,16,prim
60,1176,16,prim
38,1177,16,prim
33,1178,16,prim
40,1179,16,prim
60,1180,16,prim
15,1181,16,prim
68,1182,16,prim
65,1183,16,prim
27,1184,16,prim
38,1185,16,prim
69,1186,16,prim
69,1187,16,prim
30,1188,16,prim
29,1189,16,prim
30,1190,16,prim
65,1191,16,prim
32,1192,16,prim
68,1194,16,prim
6,1196,16,prim
25,1197,16,prim
63,1199,16,prim
36,1200,16,prim
45,1201,16,prim
30,1202,16,prim
29,1204,16,prim
30,1205,16,prim
12,1206,16,prim
69,1207,16,prim
36,1208,16,prim
27,1209,16,prim
15,1210,16,prim
10,1211,16,prim
27,1213,16,prim
36,1214,16,prim
60,1215,16,prim
9,1216,16,prim
85,545,12,fourth
61,484,5,sec
62,488,5,sec
61,491,5,sec
54,1317,2,prim
1,1217,16,prim
13,1218,16,prim
12,1219,16,prim
59,1220,16,prim
85,545,13,fourth
69,1222,16,prim
60,1223,16,prim
12,1224,16,prim
15,1225,16,prim
12,1226,16,prim
61,1548,16,prim
82,1549,16,prim
30,1553,16,prim
30,1554,16,prim
48,1555,16,prim
48,1556,16,prim
9,1557,16,prim
8,970,16,prim
61,731,16,prim
25,1600,16,prim
64,1601,16,prim
23,1602,16,prim
4,1603,16,prim
69,1604,16,prim
74,1605,16,prim
63,1607,16,prim
69,1608,16,prim
19,1609,16,prim
55,1221,16,prim
8,1100,16,prim
23,959,16,prim
73,1621,16,prim
8,1612,16,prim
8,1613,16,prim
69,1615,16,prim
77,1617,16,prim
18,1618,16,prim
18,1619,16,prim
84,104,16,sec
55,586,16,prim
69,1622,16,prim
48,1623,16,prim
69,1624,16,prim
48,1625,16,prim
74,1626,16,prim
1,1628,16,prim
19,1629,16,prim
75,1630,16,prim
56,1631,16,prim
56,1633,16,prim
69,1634,16,prim
86,1037,16,prim
69,1639,16,prim
74,913,16,prim
54,1614,16,prim
18,1620,16,prim
74,1627,16,prim
56,1632,16,prim
62,586,16,sec
27,678,16,prim
13,848,16,prim
30,806,16,prim
69,880,16,prim
85,545,14,fourth
85,545,16,prim
27,1610,16,prim
62,594,16,prim
1,1662,16,prim
30,1664,16,prim
74,1665,16,prim
86,1037,14,fourth
86,1037,13,fourth
77,842,16,sec
75,842,16,prim
48,1666,16,prim
19,1667,16,prim
86,1037,12,fourth
84,104,13,fourth
84,104,12,fourth
64,520,12,fourth
14,749,17,new
23,427,17,new
14,1678,17,prim
30,1648,17,prim
75,1649,17,prim
75,1651,17,prim
14,1679,17,prim
61,1043,17,sec
64,1680,17,prim
48,1657,17,prim
6,1659,17,prim
6,1660,17,prim
62,721,17,prim
9,870,17,prim
43,1635,17,prim
62,1636,17,prim
23,764,17,prim
62,306,17,sec
61,373,17,sec
62,322,17,sec
61,484,17,sec
57,516,17,prim
62,712,17,sec
64,520,17,sec
62,538,17,sec
62,567,17,sec
30,495,17,prim
62,764,17,sec
64,874,17,sec
61,897,17,sec
61,1030,17,sec
43,805,17,prim
84,532,17,sec
23,1562,17,prim
1,1583,17,prim
55,1585,17,prim
56,1589,17,prim
14,1595,17,prim
60,104,17,prim
48,304,17,prim
61,306,17,prim
6,322,17,prim
8,327,17,prim
64,330,17,prim
43,335,17,prim
8,345,17,prim
19,353,17,prim
8,357,17,prim
69,358,17,prim
63,373,17,prim
56,381,17,prim
8,382,17,prim
3,394,17,prim
37,410,17,prim
74,419,17,prim
8,427,17,prim
58,428,17,prim
60,435,17,prim
8,441,17,prim
63,453,17,prim
30,457,17,prim
30,458,17,prim
8,467,17,prim
38,470,17,prim
63,484,17,prim
14,485,17,prim
19,487,17,prim
36,501,17,prim
55,504,17,prim
55,505,17,prim
8,508,17,prim
8,510,17,prim
61,543,5,sec
62,564,5,sec
62,587,5,sec
62,599,5,sec
66,654,5,prim
86,1640,15,prim
23,1641,15,prim
23,1641,16,prim
15,343,18,prim
1,1663,16,prim
60,1642,15,prim
65,361,2,prim
40,364,2,prim
8,774,2,prim
69,365,2,prim
26,366,2,prim
5,694,2,prim
